TIME,GDP ,CONS
1961:01,248495,"152,821"
1961:02,255012,"155,707"
1961:03,260582,"159,443"
1961:04,264281,"160,053"
1962:01,270225,"163,741"
1962:02,271920,"164,760"
1962:03,275294,"164,131"
1962:04,281112,"167,405"
1963:01,282213,"168,672"
1963:02,285958,"171,287"
1963:03,288305,"172,307"
1963:04,298121,"175,223"
1964:01,304766,"178,692"
1964:02,305538,"179,006"
1964:03,309211,"182,528"
1964:04,310735,"183,740"
1965:01,320503,"185,733"
1965:02,323748,"190,345"
1965:03,328293,"193,160"
1965:04,337158,"197,016"
1966:01,343156,"198,741"
1966:02,349425,"199,156"
1966:03,349776,"203,282"
1966:04,353369,"203,160"
1967:01,352447,"204,713"
1967:02,360041,"208,934"
1967:03,361686,"208,549"
1967:04,363335,"212,262"
1968:01,366108,"214,493"
1968:02,376751,"215,055"
1968:03,382769,"219,398"
1968:04,388715,"222,575"
1969:01,393557,"227,677"
1969:02,395206,"226,194"
1969:03,399974,"228,596"
1969:04,406121,"231,269"
1970:01,406797,"228,231"
1970:02,406696,"229,957"
1970:03,412266,"234,569"
1970:04,410893,"236,630"
1971:01,415095,"236,042"
1971:02,427780,"244,430"
1971:03,439531,"249,943"
1971:04,444782,"255,117"
1972:01,442356,"256,049"
1972:02,455360,"262,624"
1972:03,455552,"264,564"
1972:04,466906,"270,634"
1973:01,480523,"277,927"
1973:02,485103,"279,777"
1973:03,486523,"282,004"
1973:04,499070,"287,517"
1974:01,504177,"295,385"
1974:02,505510,"297,397"
1974:03,509967,"298,672"
1974:04,512861,"294,506"
1975:01,510687,"301,453"
1975:02,516125,"305,174"
1975:03,523601,"311,496"
1975:04,527218,"317,351"
1976:01,537991,"316,469"
1976:02,550152,"325,628"
1976:03,552028,"326,456"
1976:04,551836,"333,711"
1977:01,561294,"332,634"
1977:02,562926,"331,413"
1977:03,566699,"336,657"
1977:04,576349,"340,088"
1978:01,580701,"342,513"
1978:02,586615,"345,602"
1978:03,593038,"347,847"
1978:04,598213,"348,996"
1979:01,604864,"354,673"
1979:02,612989,"355,032"
1979:03,616200,"356,289"
1979:04,623482,"357,402"
1980:01,625921,"359,718"
1980:02,623168,"358,336"
1980:03,617288,"365,143"
1980:04,624869,"368,305"
1981:01,640266,"370,197"
1981:02,646382,"369,214"
1981:03,641982,"367,240"
1981:04,638789,"367,557"
1982:01,634147,"361,813"
1982:02,625308,"360,095"
1982:03,619694,"358,654"
1982:04,613854,"357,324"
1983:01,623762,"362,997"
1983:02,638071,"367,589"
1983:03,646411,"372,449"
1983:04,653663,"375,702"
1984:01,662537,"380,524"
1984:02,674893,"384,938"
1984:03,679210,"386,323"
1984:04,690906,"393,113"
1985:01,703447,"397,670"
1985:02,706667,"402,161"
1985:03,715627,"410,237"
1985:04,728512,"415,268"
1986:01,729560,"415,088"
1986:02,733596,"420,322"
1986:03,735333,"427,029"
1986:04,731338,"427,726"
1987:01,747196,"431,116"
1987:02,755919,"438,660"
1987:03,768814,"442,800"
1987:04,778510,"447,961"
1988:01,791406,"451,340"
1988:02,800614,"458,350"
1988:03,801518,"461,243"
1988:04,807720,"466,708"
1989:01,816895,"471,329"
1989:02,820816,"477,197"
1989:03,822599,"475,597"
1989:04,824063,"478,855"
1990:01,829722,"486,438"
1990:02,827441,"480,628"
1990:03,822994,"481,079"
1990:04,815282,"479,621"
1991:01,804729,"468,359"
1991:02,806268,"476,694"
1991:03,809497,"476,833"
1991:04,812161,"479,820"
1992:01,812426,"481,141"
1992:02,813769,"482,637"
1992:03,816782,"484,933"
1992:04,819844,"486,161"
1993:01,826052,"489,022"
1993:02,831668,"490,862"
1993:03,837087,"493,996"
1993:04,844454,"495,451"
1994:01,856760,"503,460"
1994:02,870897,"505,479"
1994:03,882498,"508,363"
1994:04,891285,"514,081"
1995:01,898346,"513,431"
1995:02,897131,"517,168"
1995:03,898801,"522,147"
1995:04,902786,"522,066"
1996:01,904267,"528,335"
1996:02,907176,"529,040"
1996:03,916022,"530,632"
1996:04,925877,"538,965"
1997:01,937602,"547,205"
1997:02,948206,"552,233"
1997:03,960828,"558,915"
1997:04,969140,"563,261"
1998:01,981538,"563,518"
1998:02,984637,"570,582"
1998:03,995215,"573,997"
1998:04,1011152,"575,481"
1999:01,1026714,"583,785"
1999:02,1038429,"589,253"
1999:03,1053337,"596,257"
1999:04,1071242,"602,404"
2000:01,1084807,"608,755"
2000:02,1097718,"614,076"
2000:03,1112225,"622,319"
2000:04,1115498,"623,794"
2001:01,1115472,"628,679"
2001:02,1117737,"630,006"
2001:03,1118415,"631,098"
2001:04,1126879,"638,750"
2002:01,1140386,"647,076"
2002:02,1147298,"655,160"
2002:03,1157586,"656,632"
2002:04,1166350,"664,020"
2003:01,1171868,"667,404"
2003:02,1170484,"673,484"
2003:03,1173772,"680,116"
2003:04,1186416,"681,624"
2004:01,1191152,"691,516"
2004:02,1204532,"695,388"
2004:03,1220044,"701,568"
2004:04,1225920,"707,716"
2005:01,1230328,"717,876"
2005:02,1239040,"724,648"
2005:03,1252700,"729,320"
2005:04,1264260,"736,280"
2006:01,1274536,"746,992"
2006:02,1279060,"754,460"
2006:03,1279396,"764,376"
2006:04,1283964,"771,724"
2007:01,1298416,"779,760"
